ticker,pe_trailing,pe_forward,pb,ev_ebitda,ps,roe,roa,net_margin,operating_margin,gross_margin,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,earnings_growth_q,market_cap,enterprise_value,book_value,dividend_yield,payout_ratio,beta_reported,sector,industry,last_earnings_date,snapshot_date
360ONE,37.7678,27.718294,4.6810126,20.077,9.683614,,,0.26455998,0.6107,0.72869,161.977,,,0.299,0.128,0.161,461941309440.0,606060216320.0,242.533,1.57,0.3989,0.394,Financial Services,Asset Management,2026-07-16,2026-08-01
3MINDIA,74.488914,45.94505,22.15567,39.083,7.661273,0.289,0.18757,0.10262,0.17216998,0.42368,9.6,2.182,1.422,0.168,2.018,2.031,389940412416.0,385265303552.0,1562.354,0.46,0.3451,0.27,Industrials,Conglomerates,,2026-08-01
ABB,97.94944,71.881905,19.699444,79.153,11.539798,,,0.22257,0.11496,0.37892,1.082,,,0.008,2.76,2.758,1543646478336.0,1486217019392.0,369.782,0.54,0.59,0.522,Industrials,Specialty Industrial Machinery,2026-07-31,2026-08-01
ACC,13.395835,13.822007,1.2403687,10.485,1.0098466,,,0.07563,0.03375,0.40609002,2.085,,,-0.038,-0.606,-0.608,254902435840.0,253852024832.0,1094.352,0.55,0.074,0.271,Basic Materials,Building Materials,2026-07-24,2026-08-01
ACMESOLAR,37.381443,13.983776,4.339345,14.449,8.974687,,,0.21146,0.67576,0.98635,393.194,,,0.468,0.715,0.799,256101285888.0,367370665984.0,83.561,0.06,0.020599999,,Utilities,Utilities - Renewable,,2026-08-01
AIAENG,33.759834,30.595356,5.337547,30.623,,0.16951999,0.08731,0.28737,0.26357,0.5483,0.128,19.085,14.933,0.094,0.38,0.379,,384709689344.0,860.133,0.35,0.1176,0.266,Industrials,Specialty Industrial Machinery,,2026-08-01
APLAPOLLO,42.020786,28.589754,9.539864,27.827,2.1890006,0.25314,0.11951999,0.05213,0.07206,0.15469,9.396,1.343,0.431,0.136,0.208,0.209,505199460352.0,501396176896.0,190.726,0.32,0.13270001,0.261,Basic Materials,Steel,2026-08-01,2026-08-01
AUBANK,27.779842,17.24732,3.9190083,,73.88551,,,0.21372999,0.35311002,0.0,,,,0.298,0.351,0.37,784074145792.0,837678399488.0,267.236,0.1,0.0,,Financial Services,Banks - Regional,2026-07-25,2026-08-01
AWL,21.237669,18.35659,2.3467038,,0.31580654,,,0.0149,0.03207,0.105670005,10.621,,,0.179,0.473,0.482,245011693568.0,,80.726,0.53,0.111999996,,Consumer Defensive,Packaged Foods,,2026-08-01
AADHARHFC,19.501375,13.341471,2.8698707,,9.556306,0.15753001,0.0433,0.48211,0.60558,0.98407996,255.574,5.877,5.753,0.244,0.26,0.27,217225347072.0,401230036992.0,173.074,,0.0,0.369,Financial Services,Mortgage Finance,,2026-08-01
AARTIIND,33.454174,24.464579,2.9689028,19.146,2.1410768,0.07249,0.03466,0.05057,0.09837,0.35445,83.392,0.831,0.399,0.132,0.434,0.429,177409622016.0,220368683008.0,164.741,0.21,0.0684,0.592,Basic Materials,Specialty Chemicals,2026-07-30,2026-08-01
AAVAS,15.765798,11.849378,2.1320431,,6.6776886,,,0.42543998,0.54527,0.99343,310.553,,,0.169,0.233,0.23,107818582016.0,246242328576.0,637.792,,0.0,0.525,Financial Services,Mortgage Finance,2026-05-05,2026-08-01
ABBOTINDIA,38.07124,30.75755,12.373423,30.858,8.52542,0.34460998,0.18281001,0.22399001,0.27021,0.46515,3.602,2.554,1.878,0.065,0.076,0.076,590730625024.0,570127220736.0,2246.751,1.91,0.6504,0.016,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,2026-08-01
ACE,29.17939,22.723993,6.3335857,22.854,3.731519,,,0.12796,0.13842,0.32229,0.393,,,0.205,0.223,0.223,127395553280.0,121085722624.0,168.988,0.19,0.0545,0.319,Industrials,Farm & Heavy Construction Machinery,,2026-08-01
ACUTAAS,88.483894,43.670235,15.3765,46.539,17.389578,,,0.26421,0.31319,0.58419997,2.081,,,0.591,0.671,0.677,254201626624.0,252891398144.0,201.925,0.05,0.0429,-0.012,Basic Materials,Specialty Chemicals,,2026-08-01
ADANIENSOL,67.5729,45.509777,7.7734213,25.457,6.4849133,,,0.095769994,0.24952,0.43660998,194.5,,,0.424,1.241,1.242,1976590532608.0,2454669230080.0,211.67,,0.0,0.841,Utilities,Utilities - Independent Power Producers,2026-07-21,2026-08-01
ADANIENT,52.35734,44.660168,4.80727,33.04,3.8431172,,,0.06546,0.09395,0.43306,119.56,,,0.499,,,4282438647808.0,4940984483840.0,626.031,0.04,0.0226,0.825,Energy,Thermal Coal,2026-10-28,2026-08-01
ADANIGREEN,133.36548,43.004063,11.80941,28.804,16.720821,,,0.13095,0.6678,0.94693,346.548,,,0.166,0.185,0.185,2278044729344.0,3371904532480.0,117.11,,0.0,1.159,Utilities,Utilities - Renewable,2026-07-22,2026-08-01
ADANIPORTS,28.985136,21.707798,4.0732784,19.319,9.667635,,,0.32431,0.4463,0.64402,64.051,,,0.186,0.024,0.092,3908666392576.0,4500036255744.0,416.495,0.44,0.128,0.512,Industrials,Marine Shipping,2026-07-29,2026-08-01
ADANIPOWER,28.555405,26.608557,6.275354,20.975,6.902971,,,0.24148001,0.35876998,0.43477002,82.332,,,0.34,0.444,0.42,4075048927232.0,4612040425472.0,33.673,,0.0,0.527,Utilities,Utilities - Independent Power Producers,2026-07-22,2026-08-01
ATGL,113.6911,,14.727692,64.295,11.428141,,,0.100839995,0.11602,0.28245002,58.65,,,0.272,-0.14,-0.142,716471271424.0,739554361344.0,44.233,0.04,0.0435,0.691,Utilities,Utilities - Regulated Gas,2026-07-21,2026-08-01
ABCAPITAL,26.863787,16.521185,3.0767238,,3.4219568,0.11181,0.01258,0.116450004,0.13697,0.27658,495.936,3.471,3.288,0.077,0.295,0.306,1106208096256.0,2734774026240.0,131.406,,0.0,0.675,Financial Services,Financial Conglomerates,2026-07-31,2026-08-01
ABFRL,,-11.879783,1.2549217,18.052,0.8964092,-0.12693,-0.023729999,-0.094890006,-0.07627,0.57598996,98.822,1.252,0.414,0.157,,,73298665472.0,123950243840.0,48.003,,0.0,0.007,Consumer Cyclical,Apparel Manufacturing,2026-05-25,2026-08-01
ABLBL,67.141846,31.7077,8.182368,17.868,1.3696092,0.12724,0.04366,0.02037,0.08614001,0.57444,213.719,1.065,0.331,0.119,1.166,0.422,114989793280.0,144649289728.0,11.57,0.53,0.0,,Consumer Cyclical,Apparel Retail,,2026-08-01
ABREL,,26.631485,4.238499,-54.225,37.849487,-0.08911,-0.01411,-0.24914,-1.86002,0.56856996,152.371,1.437,0.252,,,,156810428416.0,189478617088.0,334.576,0.18,0.4016,0.3,Real Estate,Real Estate Services,,2026-08-01
ABSLAMC,29.074713,23.204512,7.230035,19.221,,,,0.47594002,0.65116,0.76512,1.577,,,0.106,0.113,0.117,,254731403264.0,139.944,2.53,0.6904,0.331,Financial Services,Asset Management,,2026-08-01
CPPLUS,106.13458,47.400055,21.264454,72.64,9.468106,0.25425,0.08958,0.08718,0.16695,0.28681,9.604,1.533,0.877,0.455,1.87,2.077,399630991360.0,398551285760.0,159.468,0.05,0.0,,Industrials,Building Products & Equipment,,2026-08-01
AEGISLOG,49.992195,34.58275,7.424584,33.142,5.3948126,0.15258001,0.06252,0.10778,0.23339,0.22808,47.243,1.707,1.464,0.522,0.458,0.457,449560805376.0,474214563840.0,172.508,1.05,0.31260002,0.572,Energy,Oil & Gas Refining & Marketing,,2026-08-01
AEGISVOPAK,102.16902,38.347122,7.4930277,56.388,34.74673,0.11566,0.040760003,0.33555,0.60779,0.98702,84.438,0.369,0.312,0.154,0.143,0.286,321494843392.0,357060214784.0,38.724,0.07,0.0,,Energy,Oil & Gas Equipment & Services,,2026-08-01
AFCONS,39.699852,16.175186,1.8298814,10.857,0.8346303,0.04681,0.02713,0.02105,-0.01264,0.33337003,66.542,1.294,1.129,-0.189,,,99724804096.0,127796805632.0,148.179,0.73,0.3666,,Industrials,Engineering & Construction,,2026-08-01
AFFLE,49.026276,31.932974,6.098686,34.193,8.236746,0.13786,0.07548,0.16788,0.17636,0.28726,0.405,3.593,2.911,0.203,0.157,0.16,223158910976.0,208598106112.0,260.056,,0.0,0.157,Communication Services,Advertising Agencies,,2026-08-01
AJANTPHARM,38.1672,30.642212,9.561678,,7.437661,,,0.19497,0.26518,0.78769994,5.747,,,0.303,0.308,0.309,432926916608.0,,362.405,1.85,0.3084,,Healthcare,Drug Manufacturers - Specialty & Generic,,2026-08-01
ALKEM,29.873266,25.426136,4.9759274,23.107,4.674181,0.17557,0.08432,0.15645,0.10821,0.64125,14.267,2.553,1.501,0.146,-0.227,-0.227,687678095360.0,672823508992.0,1155.865,0.34,0.2649,0.274,Healthcare,Drug Manufacturers - Specialty & Generic,2026-08-14,2026-08-01
ABDL,78.12106,39.89755,10.421924,33.92,4.355029,,,0.05554,0.09467,0.45597,68.251,,,0.061,-0.129,-0.13,173280428032.0,183669833728.0,59.442,0.87,0.6834,0.758,Consumer Defensive,Beverages - Wineries & Distilleries,,2026-08-01
ARE&M,18.591995,15.779311,2.0574908,11.573,1.2062795,0.11567,0.051909998,0.06485,0.06669,0.31774,5.015,1.641,0.597,0.155,0.945,0.945,166635438080.0,167061143552.0,442.505,1.17,0.2165,0.831,Industrials,Electrical Equipment & Parts,,2026-08-01
